stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
austin1_r0c0,8481,74980,91185,43,7,0,0,28,35,0.01733753637245393
austin1_r0c1,31649,1719,96951,55,18,0,0,10,28,0.11766642523210641
austin1_r0c2,37575,9342,113866,95,17,1,0,6,22,0.0965221892794955
austin1_r0c3,19878,4600,126336,49,13,1,0,14,26,0.04812319538017324
austin1_r0c4,5817,1549,99499,31,8,0,0,8,16,0.02036523568218759
austin1_r1c0,25964,2098,133011,123,24,1,1,7,31,0.0854295981705325
austin1_r1c1,50538,2821,164222,59,13,0,0,21,34,0.10380058470533929
austin1_r1c2,39217,6106,93241,47,11,1,1,7,18,0.07747554515615353
austin1_r1c3,5252,15852,66878,44,5,0,0,26,31,0.02813919470321041
austin1_r1c4,109168,6260,90025,6,2,0,0,14,16,0.011920876817606217
austin1_r2c0,30393,2693,166494,166,27,1,0,6,32,0.0835961014762792
austin1_r2c1,33943,3014,130942,164,36,1,0,9,44,0.11157403082671649
austin1_r2c2,37241,4611,114299,147,30,1,0,13,42,0.12280735871805842
austin1_r2c3,31986,2796,107614,161,39,1,1,7,46,0.12036697247706422
austin1_r2c4,7512,277,155605,44,5,0,0,16,21,0.03049370764762827
austin1_r3c0,39278,4828,173038,177,41,1,3,13,56,0.09650230392076481
austin1_r3c1,62482,7778,108914,153,60,3,1,20,78,0.1693710400247257
austin1_r3c2,39185,4911,117118,163,51,1,1,14,65,0.1337971684915409
austin1_r3c3,17864,1052,98737,127,21,0,1,10,32,0.08283917340521114
austin1_r3c4,12025,1295,127082,122,12,0,1,8,21,0.03383176211133461
austin1_r4c0,20826,2039,148323,121,21,0,0,8,29,0.0712387806766115
austin1_r4c1,45944,3703,122849,121,35,2,1,20,53,0.14841086666525505
austin1_r4c2,23904,3871,115606,125,26,1,0,9,34,0.099423134379812
austin1_r4c3,26545,1225,124139,140,25,0,1,8,34,0.09499433558511308
austin1_r4c4,12942,1322,168872,156,18,0,0,12,30,0.03857735963364872
austin2_r0c0,18106,2576,83584,49,12,0,1,9,22,0.06918954632212597
austin2_r0c1,48019,6406,176958,88,23,4,2,14,35,0.1099114230300122
austin2_r0c2,90503,10047,95855,49,25,0,0,28,53,0.15760324659823347
austin2_r0c3,11198,1242,115833,77,9,0,2,8,19,0.034452732708327286
austin2_r0c4,4760,947,290384,152,3,0,0,8,11,0.0033149950627733107
austin2_r1c0,40567,4795,79400,39,15,1,0,5,19,0.09801175184476633
austin2_r1c1,67002,11006,156967,44,15,0,1,38,54,0.10797206991089787
austin2_r1c2,29699,1966,134040,77,15,0,1,5,21,0.07429734006480296
austin2_r1c3,3946,315,45353,28,3,0,1,2,6,0.03797378675168261
austin2_r1c4,7895,597,190489,123,7,0,1,10,18,0.012776046871632082
austin2_r2c0,25541,6379,161439,42,20,3,0,42,59,0.09148720547251077
