stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
austin1_r0c0,35410,4955,64256,43,14,0,0,2,16,0.09202294056308655
austin1_r0c1,60886,5059,67714,55,26,0,0,4,30,0.16904818138875768
austin1_r0c2,67473,7555,83968,95,34,2,1,6,39,0.16694956894626345
austin1_r0c3,72747,21220,73467,49,32,1,3,13,47,0.10284144770423664
austin1_r0c4,49034,14596,56282,31,16,1,0,10,25,0.041923859135833304
austin1_r1c0,52658,7915,106317,123,52,3,1,9,59,0.13206895925300197
austin1_r1c1,109160,3048,105600,59,21,1,1,5,26,0.1685407949790795
austin1_r1c2,78179,6734,54279,47,24,2,0,12,34,0.1654223737581565
austin1_r1c3,41173,45686,30957,44,18,0,0,6,24,0.12761967791749393
austin1_r1c4,176319,54751,22874,6,3,0,0,6,9,0.04818232804772345
austin1_r2c0,55132,5585,141755,166,45,2,0,3,46,0.12697065861150236
austin1_r2c1,61080,9202,103805,164,59,4,0,18,73,0.16496090851038125
austin1_r2c2,77035,10126,74505,147,52,1,0,1,52,0.16950218277850637
austin1_r2c3,69035,7751,70565,161,64,2,0,2,64,0.2059206609109854
austin1_r2c4,59137,5304,103980,44,14,0,1,2,17,0.14800669170796377
austin1_r3c0,65126,8083,147190,177,50,2,0,4,52,0.1322091383108547
austin1_r3c1,84990,8659,86406,153,67,3,1,5,70,0.22058438726559093
austin1_r3c2,53615,6822,102688,163,59,2,1,5,63,0.16541755888650964
austin1_r3c3,41513,5582,75088,127,40,2,0,2,38,0.15093974036039529
austin1_r3c4,47267,5448,91840,122,33,0,0,9,42,0.1051398828887443
austin1_r4c0,52250,4951,116899,121,34,1,0,5,38,0.1412916536904391
austin1_r4c1,81387,7722,87406,121,54,2,1,9,62,0.2167436580018791
austin1_r4c2,43735,4731,95775,125,41,1,0,12,52,0.1623604886193866
austin1_r4c3,59464,6204,91220,140,50,0,0,5,55,0.17670736874542584
austin1_r4c4,71237,9499,110577,156,60,3,0,7,64,0.1406634480610497
austin2_r0c0,40222,4706,61468,49,19,0,1,2,22,0.15042022843186553
austin2_r0c1,100914,8138,124063,88,26,5,1,3,25,0.16044065105200475
austin2_r0c2,138205,6848,48153,49,29,1,3,2,33,0.26225521566619736
austin2_r0c3,53654,8432,73377,77,35,5,1,15,45,0.1213719675239438
austin2_r0c4,107823,23604,187321,152,68,29,2,19,60,0.06789223804791873
austin2_r1c0,63202,8085,56765,39,22,1,0,3,24,0.12760400076447728
austin2_r1c1,179497,14620,44472,44,32,2,3,11,44,0.24011983681795002
austin2_r1c2,75995,6301,87744,77,32,1,1,11,43,0.16939559328886195
austin2_r1c3,7578,1240,41721,28,6,0,0,3,9,0.054325382698469205
austin2_r1c4,58716,10405,139668,123,42,1,5,12,58,0.06379681174089069
austin2_r2c0,140143,20675,46837,42,29,2,0,6,33,0.14972847168347556
austin2_r2c1,108666,9466,111698,67,34,5,2,10,41,0.1529156761292127
austin2_r2c2,72523,4910,155792,111,35,2,1,6,40,0.13128938681604482
austin2_r2c3,44875,5553,125486,91,25,0,1,4,30,0.0953079793702042
austin2_r2c4,55072,5706,124553,123,41,0,2,12,55,0.1095177218238749
austin2_r3c0,102229,11163,111511,76,32,2,0,9,39,0.13056200181616387
austin2_r3c1,72617,8320,92053,75,35,1,0,8,42,0.14805938623392978
austin2_r3c2,94472,8238,57091,50,21,0,1,10,32,0.15218589778929378
austin2_r3c3,96707,14864,125677,84,40,0,2,10,52,0.10571284700225785
austin2_r3c4,45003,5972,139540,60,23,1,3,10,35,0.07482182323871961
austin2_r4c0,81668,9611,105261,107,47,0,1,6,54,0.14941324764322617
