stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
austin1_r0c0,37797,6561,61869,43,17,0,0,4,21,0.08867295349420919
austin1_r0c1,78969,7281,49631,55,35,0,0,7,42,0.1822730932934545
austin1_r0c2,68990,8205,82451,95,36,3,1,14,48,0.16267636684303352
austin1_r0c3,79697,28378,66517,49,35,3,1,14,47,0.1092869222096956
austin1_r0c4,49255,15010,56061,31,18,2,0,6,22,0.038818715531044296
austin1_r1c0,60950,8958,98025,123,54,2,1,4,57,0.14248780132546793
austin1_r1c1,128328,3118,86432,59,28,1,0,3,30,0.1895071242097317
austin1_r1c2,85489,8430,46969,47,24,1,0,5,28,0.17729048295454544
austin1_r1c3,41199,21354,30931,44,19,0,0,1,20,0.13900181980098347
austin1_r1c4,166167,17263,33026,6,3,0,0,4,7,0.032610408023945804
austin1_r2c0,61754,6465,135133,166,49,2,1,6,53,0.1335309595976418
austin1_r2c1,69734,11443,95151,164,68,8,1,7,67,0.16978691537885493
austin1_r2c2,67629,10556,83911,147,52,0,1,6,59,0.1451615873308167
austin1_r2c3,76506,9794,63094,161,75,4,1,5,77,0.21086117203501967
austin1_r2c4,67522,9093,95595,44,20,2,0,4,22,0.12243999765271991
austin1_r3c0,58799,7130,153517,177,51,4,0,11,58,0.12374651587479576
austin1_r3c1,88333,9497,83063,153,72,3,2,5,76,0.21171039761124363
austin1_r3c2,52716,8872,103587,163,66,5,2,5,68,0.15964535391785611
austin1_r3c3,42706,5019,73895,127,43,3,0,6,45,0.15025470972702806
austin1_r3c4,48658,5892,90449,122,34,0,0,5,39,0.10441907850053678
austin1_r4c0,51107,4764,118042,121,36,1,0,8,42,0.13206808077246998
austin1_r4c1,76686,7567,92107,121,53,2,1,13,65,0.20027813648554685
austin1_r4c2,43253,3216,96257,125,45,2,0,2,45,0.1653047975105778
austin1_r4c3,62866,5570,87818,140,58,2,1,3,59,0.1696774193548387
austin1_r4c4,71972,9488,109842,156,67,3,1,12,77,0.14016101563709552
austin2_r0c0,39723,3554,61967,49,21,0,2,2,25,0.1460794844253491
austin2_r0c1,101332,7902,123645,88,35,4,0,8,39,0.1582644073000825
austin2_r0c2,131261,8077,55097,49,26,1,2,3,30,0.23228204201724048
