stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
austin1_r0c0,22167,109727,77499,43,12,1,0,12,23,0.04447032164662932
austin1_r0c1,36336,5377,92264,55,19,0,0,15,34,0.11456113002258772
austin1_r0c2,57303,12549,94138,95,27,1,1,11,38,0.12765576376295698
austin1_r0c3,57610,24661,88604,49,24,2,1,30,53,0.08223071645594433
austin1_r0c4,28302,10256,77014,31,10,1,1,16,26,0.024244284179837348
austin1_r1c0,40628,8404,118347,123,37,1,1,21,58,0.10072909378797364
austin1_r1c1,97521,7228,117239,59,16,0,2,21,39,0.11923929529809824
austin1_r1c2,68799,15390,63659,47,18,1,1,16,34,0.11293103448275862
austin1_r1c3,11224,37181,60906,44,8,0,0,20,28,0.048789649415692825
austin1_r1c4,168867,26150,30326,6,4,1,0,12,15,0.040651332270553404
austin1_r2c0,37674,3846,159213,166,30,1,0,10,39,0.09257866475434208
austin1_r2c1,32733,4738,132152,164,33,1,1,12,45,0.1009416818106724
austin1_r2c2,45586,7339,105954,147,42,2,2,23,65,0.11249954527265452
austin1_r2c3,42401,5911,97199,161,48,5,0,20,63,0.13292586826577485
austin1_r2c4,56587,22075,106530,44,15,0,0,19,34,0.10770762229806598
austin1_r3c0,37808,5147,174508,177,31,1,2,8,40,0.08105210252973698
austin1_r3c1,59267,8336,112129,153,51,3,0,18,66,0.15089428606602065
austin1_r3c2,31973,5162,124330,163,42,2,4,11,54,0.11047833850202049
austin1_r3c3,29545,3747,87056,127,28,2,0,11,37,0.10687286921290577
austin1_r3c4,34971,7605,104136,122,28,0,3,21,52,0.07093608835671213
austin1_r4c0,30487,4846,138662,121,27,1,2,15,43,0.08728897715988083
austin1_r4c1,55701,8145,113092,121,41,2,1,23,63,0.15341056886167637
austin1_r4c2,18670,1628,120840,125,22,0,0,14,36,0.09253703134966572
austin1_r4c3,35395,4148,115289,140,31,1,1,11,42,0.11010747542421886
austin1_r4c4,42957,6535,138857,156,42,2,2,14,56,0.08889530964075894
austin2_r0c0,20180,3268,81510,49,15,1,2,9,25,0.0819163686783916
austin2_r0c1,89561,17348,135416,88,27,5,2,10,34,0.1237282256821335
austin2_r0c2,128880,19700,57478,49,25,2,1,20,44,0.17681200453001134
austin2_r0c3,44893,14127,82138,77,33,9,0,22,46,0.07779399303267112
