stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
austin1_r0c0,24859,122533,74807,43,15,1,0,37,51,0.046293237695247985
austin1_r0c1,50911,4618,77689,55,22,0,0,9,31,0.153349998456933
austin1_r0c2,45595,14176,105846,95,24,1,3,19,45,0.11126373626373626
austin1_r0c3,36642,6250,109572,49,18,1,0,21,38,0.08199633279853312
austin1_r0c4,29201,8016,76115,31,14,1,0,17,30,0.034665346082054016
austin1_r1c0,38718,4352,120257,123,34,0,2,8,44,0.10552068306756598
austin1_r1c1,85480,6535,129280,59,20,1,0,20,39,0.10745252128356254
austin1_r1c2,53664,96369,78794,47,19,1,0,6,24,0.09052021526148751
austin1_r1c3,8137,31406,63993,44,9,0,0,21,30,0.04872710517221518
austin1_r1c4,67609,15131,131584,6,3,0,0,19,22,0.016108537934992007
austin1_r2c0,38485,4833,158402,166,34,0,0,5,39,0.09422598220968893
austin1_r2c1,45701,6606,119184,164,45,2,0,10,53,0.12061186705732209
austin1_r2c2,49037,10439,102503,147,38,0,1,13,52,0.13147879166743276
austin1_r2c3,47571,5578,92029,161,52,3,0,5,54,0.14979632025020753
austin1_r2c4,25132,890,137985,44,7,0,1,16,24,0.06546854942233633
austin1_r3c0,52902,6399,159414,177,44,1,1,10,54,0.11335663767173401
austin1_r3c1,73551,10154,97845,153,61,2,0,10,69,0.17522550225502256
austin1_r3c2,48955,8188,107348,163,58,1,3,9,69,0.1486075995416265
austin1_r3c3,28206,2269,88395,127,27,0,0,1,28,0.1129792905474677
austin1_r3c4,23916,4180,115191,122,19,2,0,6,23,0.051733780760626395
austin1_r4c0,28595,2641,140554,121,27,1,1,15,42,0.08885509015589665
austin1_r4c1,59145,7608,109648,121,43,1,0,10,52,0.1597669301605411
austin1_r4c2,32438,6300,107072,125,33,1,0,3,35,0.12449634637710852
austin1_r4c3,41210,2971,109474,140,31,0,1,4,36,0.12465457772757528
austin1_r4c4,44195,4585,137619,156,42,2,1,14,54,0.09360558487103011
austin2_r0c0,27963,2945,73727,49,15,1,1,7,22,0.09690878746099703
austin2_r0c1,62265,7585,162712,88,24,2,0,16,38,0.1268203410949303
austin2_r0c2,124492,9743,61866,49,24,0,1,10,35,0.1950108353033885
austin2_r0c3,21451,3871,105580,77,18,0,1,14,33,0.05164588801399825
