stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
austin1_r0c0,29818,93795,69848,43,14,1,1,24,38,0.05878185038833628
austin1_r0c1,44729,4282,83871,55,20,0,2,19,41,0.13935289691497366
austin1_r0c2,62705,15639,88736,95,30,1,3,10,42,0.12982267598065556
austin1_r0c3,76321,39682,69893,49,31,1,4,41,75,0.09500289327932546
austin1_r0c4,43071,24900,62245,31,16,3,0,18,31,0.03605928278417361
austin1_r1c0,41435,7256,117540,123,38,1,0,11,48,0.10566557797957296
austin1_r1c1,114519,7138,100241,59,18,1,3,23,43,0.1347242069162618
austin1_r1c2,72083,18984,60375,47,19,2,1,21,39,0.11608264897565537
austin1_r1c3,14663,56688,57467,44,6,0,2,22,30,0.041374378532997344
austin1_r1c4,178968,26428,20225,6,5,1,0,4,8,0.04205008736167734
austin1_r2c0,44877,4979,152010,166,39,0,3,7,49,0.10648040227779813
austin1_r2c1,40230,4837,124655,164,41,1,1,18,59,0.1187220378120941
austin1_r2c2,49291,7883,102249,147,45,3,2,21,65,0.13085144927536232
austin1_r2c3,47553,6450,92047,161,47,4,0,22,65,0.14612699563202167
austin1_r2c4,75473,28843,87644,44,18,4,0,27,41,0.11756138692286072
austin1_r3c0,41139,5488,171177,177,35,3,1,18,51,0.09176629896294339
austin1_r3c1,65436,8350,105960,153,58,3,2,22,78,0.16468035271424636
austin1_r3c2,33647,3955,122656,163,42,2,2,14,56,0.1157556270096463
austin1_r3c3,27341,2833,89260,127,28,0,0,11,39,0.10116702408857414
austin1_r3c4,42190,14717,96917,122,34,2,1,35,68,0.08544910179640719
austin1_r4c0,39476,5247,129673,121,30,1,0,12,41,0.10557036402902893
austin1_r4c1,65413,8468,103380,121,45,3,1,32,75,0.17086396881452748
austin1_r4c2,19005,1497,120505,125,22,0,1,14,37,0.09230985717301063
austin1_r4c3,34362,2807,116322,140,32,0,1,15,48,0.112758696389726
austin1_r4c4,48692,6067,133122,156,42,2,2,15,57,0.09917538851887092
austin2_r0c0,32329,4555,69361,49,18,0,2,9,29,0.1222838252005923
austin2_r0c1,91183,14182,133794,88,26,6,1,13,34,0.12793573460773194
austin2_r0c2,121972,14944,64386,49,23,2,0,15,36,0.18315864697474987
austin2_r0c3,50626,12891,76405,77,32,9,1,23,47,0.08417871283649228
austin2_r0c4,118290,37654,176854,152,83,37,1,29,76,0.06230472339643448
austin2_r1c0,45740,8325,74227,39,17,2,0,16,31,0.08708854217139904
austin2_r1c1,168790,45330,55179,44,30,5,0,31,56,0.16669172932330828
austin2_r1c2,56594,7676,107145,77,27,0,2,16,45,0.12401284968545041
austin2_r1c3,8060,1064,41239,28,6,0,0,6,12,0.058663028649386086
austin2_r1c4,49402,14346,148982,123,36,2,0,30,64,0.048351406914517975
austin2_r2c0,153704,60574,33276,42,34,14,0,16,36,0.11559938220268504
austin2_r2c1,99832,26950,120532,67,35,8,5,52,84,0.11271992721777613
austin2_r2c2,55013,8198,173302,111,23,4,0,28,47,0.09331915827131744
austin2_r2c3,16992,1760,153369,91,12,0,1,14,27,0.05018487993941284
austin2_r2c4,36340,5999,143285,123,26,0,0,21,46,0.07602485427928361
austin2_r3c0,76655,12471,137085,76,28,1,0,16,43,0.09658718656316385
austin2_r3c1,61606,15339,103064,75,32,1,1,26,58,0.11459568759356834
austin2_r3c2,78714,19522,72849,50,20,1,1,23,43,0.11448150513336935
austin2_r3c3,77422,18580,144962,84,36,2,1,25,60,0.08876041769608328
austin2_r3c4,55823,18223,128720,60,22,1,1,21,43,0.07213673679960522
austin2_r4c0,79622,14327,107307,107,46,3,2,17,62,0.13614061029708294
austin2_r4c1,49284,9668,74544,66,24,1,0,10,33,0.1256556799498943
austin2_r4c2,31819,4917,107080,80,22,2,1,11,32,0.09921544653319068
austin2_r4c3,72044,22166,113734,89,49,11,2,22,62,0.09269807556156272
austin2_r4c4,75226,32871,82541,58,36,9,0,29,56,0.05761848883231568
austin3_r0c0,21893,9959,42149,14,4,0,0,13,17,0.041986104456157164
austin3_r0c1,24590,4754,31987,22,13,2,0,9,20,0.13790390899189156
austin3_r0c2,68069,7156,124021,75,37,1,0,22,58,0.14202702147755739
austin3_r0c3,12919,1020,121151,65,10,0,0,11,21,0.04958123953098827
austin3_r0c4,26076,3903,142889,96,20,0,0,29,49,0.06413778529163144
austin3_r1c0,18564,2690,55662,32,11,0,0,10,21,0.08907228229937393
austin3_r1c1,48931,9747,91507,47,17,3,2,11,27,0.11225372736954206
austin3_r1c2,41314,5460,117716,79,27,1,0,15,41,0.10845019777058612
austin3_r1c3,24544,4073,148630,83,21,1,2,14,36,0.05304747716821038
austin3_r1c4,39960,4135,206407,140,22,1,1,17,39,0.05919934751580235
austin3_r2c0,48245,8759,139768,77,31,0,0,20,51,0.08017416424190409
austin3_r2c1,36026,6681,146539,81,22,1,2,19,42,0.09315360385399296
austin3_r2c2,11675,1230,116092,71,11,0,0,6,17,0.05303567972127234
austin3_r2c3,49508,5983,166871,116,27,2,0,17,42,0.09375534937861618
austin3_r2c4,27833,8430,172734,86,25,1,1,23,48,0.05310706167893054
austin3_r3c0,7409,2201,139587,67,4,0,0,10,14,0.03039819501189097
austin3_r3c1,57670,7138,142543,106,33,0,0,22,55,0.14209354120267262
austin3_r3c2,36482,5672,149823,114,24,2,0,23,45,0.08776585941243688
austin3_r3c3,55033,8665,161262,154,26,2,1,21,46,0.06218889995022399
austin3_r3c4,64061,10925,139614,110,23,0,0,19,42,0.05445369847543761
austin3_r4c0,12964,1134,94439,47,7,0,0,9,16,0.07501469230123416
austin3_r4c1,43495,6442,158604,102,26,2,1,14,39,0.11075655075582137
austin3_r4c2,144108,57967,86953,73,46,13,1,20,54,0.141445545773564
austin3_r4c3,78810,30313,56143,48,18,0,1,19,38,0.09090909090909091
