stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
austin1_r0c0,37895,6821,61771,43,17,1,0,4,20,0.10832137733142037
austin1_r0c1,60686,7238,67914,55,32,0,1,2,35,0.1652135231316726
austin1_r0c2,71466,7340,79975,95,41,2,2,4,45,0.17090120396600567
austin1_r0c3,80272,24215,65942,49,35,7,2,7,37,0.10962196809672956
austin1_r0c4,54642,20666,50674,31,17,3,0,0,14,0.03863948528880214
austin1_r1c0,63210,12541,95765,123,57,8,1,10,60,0.1341953458468023
austin1_r1c1,107767,4569,106993,59,27,1,0,4,30,0.16266796081167156
austin1_r1c2,88299,10238,44159,47,26,2,0,5,29,0.1809443201741128
austin1_r1c3,38001,10760,34129,44,18,0,0,7,25,0.12452785646836638
austin1_r1c4,171163,19443,28030,6,4,0,0,1,5,0.04513672118866276
austin1_r2c0,59078,6000,137809,166,44,1,0,10,53,0.1358987839831759
austin1_r2c1,76685,13286,88200,164,74,8,1,5,70,0.18770629841697542
austin1_r2c2,76111,12993,75429,147,52,0,0,7,59,0.15867967584856163
austin1_r2c3,70966,11421,68634,161,70,5,1,2,68,0.19969082477039193
austin1_r2c4,67872,12277,95245,44,16,2,0,5,19,0.12926127853334132
austin1_r3c0,74576,9424,137740,177,56,2,0,12,66,0.14342747532086772
austin1_r3c1,89411,10533,81985,153,74,3,1,6,78,0.22113672212893706
austin1_r3c2,57437,9645,98866,163,65,3,1,7,70,0.16656152556731132
austin1_r3c3,46722,8526,69879,127,45,2,0,6,48,0.1500104125691279
austin1_r3c4,44153,7448,94954,122,32,1,0,5,36,0.09444664292309722
austin1_r4c0,58976,7225,110173,121,39,2,1,6,43,0.14677802030938597
austin1_r4c1,85633,7632,83160,121,57,2,0,5,59,0.23452345824727058
austin1_r4c2,48529,5314,90981,125,46,2,0,3,47,0.16855343189246522
austin1_r4c3,60413,5786,90271,140,54,2,0,4,55,0.18052425800735733
austin1_r4c4,76370,10161,105444,156,63,3,0,11,71,0.15103668987274574
austin2_r0c0,42047,5573,59643,49,21,0,1,4,26,0.14809835485582876
austin2_r0c1,107225,13214,117752,88,28,4,0,6,30,0.15959407804101908
austin2_r0c2,147735,11806,38623,49,27,2,1,6,32,0.26056035028219987
austin2_r0c3,65122,15843,61909,77,39,9,0,6,36,0.10875319138968918
austin2_r0c4,100581,21868,194563,152,64,30,2,18,54,0.06120494805874428
austin2_r1c0,50829,7924,69138,39,18,0,0,12,30,0.10107207235697796
austin2_r1c1,182057,16036,41912,44,33,2,2,9,42,0.24847329897353718
austin2_r1c2,70509,6279,93230,77,28,0,1,6,35,0.15996020084688894
austin2_r1c3,14038,1929,35261,28,13,0,0,4,17,0.08931357254290172
austin2_r1c4,75464,16853,122920,123,51,6,2,14,61,0.07195202178602574
austin2_r2c0,117075,26342,69905,42,29,7,0,8,30,0.1359429946326115
austin2_r2c1,83295,11543,137069,67,23,7,0,11,27,0.11167551175132676
austin2_r2c2,71077,6359,157238,111,38,4,1,26,61,0.12009364415222155
austin2_r2c3,51740,8294,118621,91,31,0,0,7,38,0.104457442517144
austin2_r2c4,53108,6852,126517,123,41,1,1,5,45,0.11084292610471592
austin2_r3c0,84594,10667,129146,76,34,1,0,9,42,0.1285942819639854
austin2_r3c1,70941,15275,93729,75,38,1,0,5,42,0.1378681368229049
austin2_r3c2,77533,17366,74030,50,15,3,0,10,22,0.10305251772623483
austin2_r3c3,94434,15402,127950,84,40,0,1,8,49,0.11298195850786635
austin2_r3c4,52221,7353,132322,60,22,1,3,8,32,0.0757282996432818
austin2_r4c0,87132,13227,99797,107,44,1,0,7,50,0.159358574610245
austin2_r4c1,52051,8819,71777,66,27,2,0,5,30,0.13338630644947688
austin2_r4c2,46905,7018,91994,80,28,1,1,5,33,0.1449906658369633
austin2_r4c3,89592,21555,96186,89,54,12,2,9,53,0.11154776299879081
austin2_r4c4,78008,19931,79759,58,30,2,0,8,36,0.06529525425326359
austin3_r0c0,22435,5773,41607,14,5,0,0,2,7,0.05242023800832299
austin3_r0c1,36555,7789,20022,22,15,4,0,1,12,0.159682899207248
austin3_r0c2,84055,12182,108035,75,37,2,0,3,38,0.14369446414417422
austin3_r0c3,47327,6448,86743,65,27,0,1,3,31,0.11314652315686223
austin3_r0c4,61353,8831,107612,96,42,0,0,5,47,0.11575331832647676
austin3_r1c0,27117,2641,47109,32,15,0,0,2,17,0.1300509337860781
austin3_r1c1,78634,14422,61804,47,21,4,0,10,27,0.12360021944686482
austin3_r1c2,61847,7499,97183,79,35,2,0,5,37,0.14958675804284965
austin3_r1c3,45394,9704,127780,83,29,2,0,4,31,0.09519845151622369
austin3_r1c4,43759,4622,202608,140,37,2,0,12,47,0.09161131112350625
