stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
tyrol-w3_r0c3,192872,407098,21635,77,70,58,1,30,43,0.04457323049388503
tyrol-w3_r0c4,394406,644084,42,85,85,84,0,1,2,0.00029700382540927126
tyrol-w3_r1c0,0,0,0,0,0,0,0,0,0,nan
tyrol-w3_r1c1,0,0,997,2,0,0,0,0,0,0.0
tyrol-w3_r1c2,87055,228106,14382,55,47,42,0,7,12,0.02800824900484389
tyrol-w3_r1c3,122490,228018,58897,85,63,43,2,70,92,0.04533747230376444
tyrol-w3_r1c4,203121,698754,8818,45,43,40,0,8,11,0.011351052048726468
tyrol-w3_r2c0,50090,93254,20423,29,24,17,0,16,23,0.06135408281906806
tyrol-w3_r2c1,119379,283375,51581,95,76,59,1,37,55,0.04722510310894576
tyrol-w3_r2c2,101639,269115,45329,60,49,34,0,44,59,0.04666542873059178
tyrol-w3_r2c3,180019,395232,18833,56,52,42,1,9,20,0.033757442050228174
tyrol-w3_r2c4,173521,384035,34753,90,77,66,0,40,51,0.02808790987728827
tyrol-w3_r3c0,53785,70526,28933,44,32,13,0,32,51,0.06307372629474736
tyrol-w3_r3c1,190254,583601,14735,104,100,96,0,21,25,0.018991375834124642
tyrol-w3_r3c2,76658,158732,51959,69,41,31,0,38,48,0.044623410829154636
tyrol-w3_r3c3,4888,14732,16420,12,3,0,0,25,28,0.03216604367499508
tyrol-w3_r3c4,27476,33931,24857,36,19,12,0,10,17,0.05696051816926227
tyrol-w3_r4c0,39111,45103,28472,33,23,11,0,28,40,0.07429699062654169
tyrol-w3_r4c1,137127,356884,16654,77,64,58,0,26,32,0.02254825784237549
tyrol-w3_r4c2,34661,33020,40567,42,19,11,1,19,28,0.05864292293521646
tyrol-w3_r4c3,0,0,3366,4,0,0,0,0,0,0.0
tyrol-w3_r4c4,0,0,2088,2,0,0,0,0,0,0.0
tyrol-w4_r0c0,130875,270483,28063,56,41,29,0,40,52,0.042130434782608694
tyrol-w4_r0c1,91081,138790,38877,44,33,21,0,18,30,0.0683290791282152
tyrol-w4_r0c2,8292,276,3942,5,1,0,0,1,2,0.1492087415222306
tyrol-w4_r0c3,0,0,0,0,0,0,0,0,0,nan
tyrol-w4_r0c4,0,0,0,0,0,0,0,0,0,nan
tyrol-w4_r1c0,148118,379409,1964,54,53,50,0,12,15,0.008368731376402714
tyrol-w4_r1c1,111705,200791,43645,46,33,26,0,19,26,0.03300299001447994
tyrol-w4_r1c2,27869,22935,43143,11,5,3,0,10,12,0.05008876489982247
tyrol-w4_r1c3,0,0,0,0,0,0,0,0,0,nan
tyrol-w4_r1c4,0,0,0,0,0,0,0,0,0,nan
tyrol-w4_r2c0,181637,452731,9280,38,34,30,0,23,27,0.014906153666055333
tyrol-w4_r2c1,95522,245701,25364,43,39,33,0,12,18,0.031213680889921967
tyrol-w4_r2c2,1665,3209,11108,10,1,0,0,7,8,0.023325808878856283
tyrol-w4_r2c3,0,0,2709,7,0,0,0,0,0,0.0
tyrol-w4_r2c4,0,0,1867,4,0,0,0,0,0,0.0
tyrol-w4_r3c0,159679,450569,12365,47,44,41,1,18,22,0.018199743665582174
tyrol-w4_r3c1,261608,124769,7787,13,9,8,0,13,14,0.033374617039306435
tyrol-w4_r3c2,115851,28819,12597,4,4,3,0,5,6,0.07757496740547588
tyrol-w4_r3c3,0,0,278,1,0,0,0,0,0,0.0
tyrol-w4_r3c4,0,0,4760,14,0,0,0,0,0,0.0
tyrol-w4_r4c0,134228,341268,14968,42,36,32,0,16,20,0.04042463669611936
tyrol-w4_r4c1,176339,462935,28796,32,28,25,0,23,26,0.02119727945113125
tyrol-w4_r4c2,0,0,3812,2,0,0,0,0,0,0.0
tyrol-w4_r4c3,0,0,350,1,0,0,0,0,0,0.0
tyrol-w4_r4c4,2388,1512,16521,20,2,0,0,1,3,0.02151208106001559
tyrol-w5_r0c0,16451,14562,36411,31,10,6,1,9,14,0.05090810517755489
tyrol-w5_r0c1,0,20,5784,7,0,0,0,1,1,0.0
tyrol-w5_r0c2,16,129,7495,11,0,0,0,3,3,0.003011040481766477
tyrol-w5_r0c3,146,67,8372,5,0,0,0,1,1,0.025676937441643323
