stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
austin1_r0c0,36711,5408,62955,43,14,1,0,2,15,0.08654202834038133
austin1_r0c1,75671,7341,52929,55,28,0,2,8,38,0.1621392933212733
austin1_r0c2,68753,6429,82688,95,33,2,2,7,40,0.15992118315856227
austin1_r0c3,79679,24713,66535,49,33,1,1,6,39,0.10183765364488256
austin1_r0c4,72182,25623,33134,31,22,4,0,3,21,0.04879009751452868
austin1_r1c0,66767,10953,92208,123,59,8,0,7,58,0.13902343471757247
austin1_r1c1,129057,4078,85703,59,27,2,0,5,30,0.1877003877981007
austin1_r1c2,88862,9220,43596,47,26,2,0,2,26,0.18658444878929162
austin1_r1c3,39622,3762,32508,44,18,0,0,1,19,0.14912981708399928
austin1_r1c4,136247,14491,62946,6,3,1,0,3,5,0.039228910245602204
austin1_r2c0,59999,5671,136888,166,46,1,0,3,48,0.12900174007061646
austin1_r2c1,65851,8037,99034,164,63,3,0,8,68,0.1738568935427574
austin1_r2c2,71428,10736,80112,147,48,0,0,2,50,0.15095830500376706
austin1_r2c3,68483,9323,71117,161,63,3,0,1,61,0.19126784214945425
austin1_r2c4,79838,12972,83279,44,19,0,1,4,24,0.11940763393362781
austin1_r3c0,67222,7383,145094,177,56,1,0,8,63,0.13486946077501738
austin1_r3c1,84110,8627,87286,153,70,3,0,4,71,0.2056687180376181
austin1_r3c2,57494,7208,98809,163,67,4,1,0,63,0.17081732801558566
austin1_r3c3,42545,5182,74056,127,41,3,0,2,40,0.1494439464056405
austin1_r3c4,50054,6178,89053,122,36,0,0,4,40,0.10908032846951311
austin1_r4c0,50912,4613,118237,121,35,2,0,7,40,0.1357430352774051
austin1_r4c1,80437,5699,88356,121,53,1,0,4,56,0.2225926374914131
austin1_r4c2,47437,4247,92073,125,41,3,0,4,42,0.1682942492083527
austin1_r4c3,56702,4964,93982,140,48,1,1,7,55,0.16064601700866038
austin1_r4c4,77507,10114,104307,156,64,4,1,7,68,0.1458574270250266
austin2_r0c0,38944,3947,62746,49,21,0,1,1,23,0.1363864222285878
